ჩეთბოტის,მომხმარებლის
"იმერეთის კირქვიანი რაიონებისათვის დამახასიათებელია მიწისქვეშა კარსტული ტიპის მდინარეები. თავისი დინების გარკვეული ნაწილით ისინი მიედინებიან მიწის ქვეშ კარსტულ სიცარიელეებში.🤗🤓~მეგობარო ასევე გეტყვი, რომ ამ ტიპის მდინარეს მიეკუთვნება მდ. ბუჯა, რაჭის ქედის სამხრეთ ფერდობზე, რომელიც 2-ჯერ იკარგება და კვლავ გამოდის ზედაპირზე.[qr, მდ. ბუჯა]",მიწისქვეშა კარსტულ
"რაც შეეხება მდინარე ბუჯას🤗, მისი გაუჩინარება ხდება მ.საწალიკეს სამხრულ ფერდობზე, 1450 მ სიმაღლეზე; მიწის ქვეშ 500 მ გავლის შემდეგ მდინარე გამოდის ქვაბულიდან და მაღალი ჩანჩქერის სახით ეშვება ქვემო ბუჯის ხეობაში. დინების ქვემოთ სოფ. ხრეითსა და რცხილათს შორის იმყოფება მდ. ბუჯის მეორე მონაკვეთი მიწის ქვეშ.[qr, მდ.შაბათაღელე და ჭიშურა]",ბუჯა
"მიხარია, რომ ასე დაინტერესდი და ამდენს იგებ ჩემგან🤗🤗~იმერეთის დასავლეთით ოკრიბა-არგვეთის სერს გადაკვეთს მიწისქვეშა გვირაბებით მდ.შაბათაღელე და ჭიშურა. ისინი ქმნიან მაღარას მრავალსართულიან გვირაბს (ცუცხვათის მღვიმოვანი). მდინარეები ტყიბულა-ძევრულა კი პერიოდულად მიედინებიან ამოქოლილ მიწისქვეშა ვიწრო არხში (ამის გამო ახალსოფლის ქვაბულში ხშირად ჩნდებოდა ტბა).",შაბათაღელე____ჭიშურა
"_xDD13__xD83E_რაჭის ქედის სამხრულ კალთაზე ამ მხრივ მნიშვნელოვანია: მდ.ლეხიდრის, წყალწითელას, ტყიბულას, ძუსის, ბუჯის, ჯრუჭულის, ჩიხურის, შუშის, ხახიეთისწყლის,თედელეთისწყლის ხეობები და ტყიბულას, მუხურისა და ხრეითის ეროზიული ქვაბულები.",მდინარეული ხეობები
"თავდაპირველად აირჩიე კონკრეტული საკითხი და განვაგრძოთ საუბარი, რომელიც ძალიან საინტერესო იქნება 🤗[qr, იმერეთის რეგიონის დარაიონება, იმერეთის სახელწოდება, იმერეთის ბუნებრივი რესურსები, ადგილობრივი მრეწველობა, სხვა]",სხვ
"იმერეთის ბუნებრივი რესურსებით არის მდიდარი😍. რეგიონი გამოირჩევა საქართველოს ტერიტორიაზე არსებული წიაღისეული სიმდიდრეების მრავალფეროვნებით.~ამჟამად იმერეთში 100-ზე მეტი მინერალური ნედლეულის საბადოა აღრიცხული. მათ შორის მნიშვნელოვანი ადგილი უჭირავს სასრგებლო წიაღისეულს😍[qr, ჩამომითვალე]",რესურს____მესამე____სამი____ბუნებ
"ასეთი ძალიან ბევრია, დავიწყოთ😍:მანგანუმის და ქვანახშირის მადნები, მოსაპირკეთებელი მასალების (ტეშენიტი, კირქვები, მარმარილოსებრი კირქვები, ტუფი, ბაზალტი) სააგურე, კერამიკული და ცეცხლგამძლე თიხები, კალიუმის, ალუმინისა და ეკოლოგიურად სუფთა სასუქების მისაღებად ვარგისი გლაუკონიტის შემცველი ნედლეული, გიშერის, მინერალური და თერმული წყლების საბადოები🤓.~მათგან საზღვარგარეთ გასაყიდად გააქვთ საბადოებში მოპოვებული მანგანუმი და ქვანახშირი, ბარიტის და დიატომიტის საშენი მასალები, თიხის მარაგები, ბეტონიტური თიხები (გუმბრინი), ბაზალტი და მარმარილო, გამარმარილოებული კირქვები.",ჭიათურის მანგანუმის საბად____მანგანუმის საბადო ჭიათ____ჭიათურაში მანგანუმ
"როგორც ვიცი, ჭიათურის მანგანუმის საბადოში მოიპოვებენ მაღალი ხარისხის ჟანგეული და კარბონატული მანგანუმის მადნებს🤓. ჭიათურაში საბადოს მარაგები დაახლოებით 215 მილიონ ტონას შეადგენს,წარმოგიდგენია რამდენია? 😦 საბადოს ამუშავებს საწარმო “ჭიათურმანგანუმი”. სავარაუდოდ, მანგანუმის ჯერ კიდევ დაუმუშავებელი მარაგები არსებობს ყვირილასა და ზესტაფონის მუნიციპალიტეტებში, ჩხარი-აჯამეთის, ქუთაისის და თერჯოლის ტერიტორიებზე.[qr, ქვანახშირის მარაგები]",ჭიათურის მანგანუმის საბად____მანგანუმის საბადო ჭიათ____ჭიათურაში მანგანუმ
"ქვანახშირის მარაგები მოიპოვება ტყიბული-შაორის ქვანახშირის საბადოებში(ტყიბულში (სოფ. კურსები, ლოლაშენი), წყალტუბოში (სოფ. ოფურჩხეთი).~მარაგი 300მილ. ტონა ძირითადად ენერგეტიკული ქვანახშირია, რომელსაც ამუშავებს საწარმო “ტყიბულნახშირი.”~იცოდი, რომ იმერეთი განსაკუთრებით მდიდარია სხვადასხვაგვარი თიხის მარაგებით?",ტყიბულის ქვანახშირის საბად____ქვანახშირის საბადო ტყიბულ____შაორის ქვანახშირის საბად____ქვანახშირის საბადო შაორ
"ძალიანაც კარგი😇მაშინ ახლა გეტყვი რეგიონში თიხის ბურებრივი რესურსების რამდენი და რომელი მარაგებია🤓[qr, მითხარი, ვიცი]",ვიცოდი
შენ რამდენი რამე გცოდნია😯😇~ყოჩაღ😍,ვიცი
"ძალიანაც კარგი😇მაშინ ახლა გეტყვი რეგიონში თიხის ბურებრივი რესურსების რამდენი და რომელი მარაგებია🤓[qr, მითხარი, ვიცი]",მითხარი____გისმენ____აბა
"დიახ, დიახ. დღეიდან გეცოდინება, რომ იმერეთი განსაკუთრებით მდიდარია სხვადასხვაგვარი თიხის მარაგებით🤗~გითხრა ამ მარაგების შესახებ მეტი?[qr, მითხარი, არ მინდა]",არა____არ ვიცოდი____ნწ
"მაშ ასე, ცოტა ვრცელი ტექსტის მოწერა მომიწევს , რადგან ძალიან ბევრი მარაგებია😍~მარაგებია: ზესტაფონის მუნიციპალიტეტში - არგვეთის სააგურე თიხის საბადო და ბოსლევის სააგურე თიხის საბადო; შროშის ცეცხლგამძლე თიხების დიდი საბადო; თერჯოლის მუნიციპალიტეტში - ჩხარის სააგურე თიხის საბადო; საჩხერის მუნიციპალიტეტში - პერევის კერამიკული თიხის და ლაშურის სააგურე თიხის საბადო; სამტრედიის მუნიციპალიტეტში ბარძგნარის სააგურე თიხის საბადო და ბუკნარის სააგურე თიხის საბადო;~წყალტუბოს მუნიციპალიტეტში უკანეთის თიხის საბადო; ხონის მუნიციპალიტეტში ხონის თიხის საბადო; აქ ოდითგანვე თიხის ჭურჭლის ნაწარმის არაერთი ცენტრი იყო (შროშა, ტყემლოვანა, ოკრიბა, ვანი და სხვა)",მითხარი____გისმენ____აბა
"დიდი ზომის ტექსტის გამო არ გამიბრაზდე 😀 ხანდახან იმდენი რამე ვიცი ხოლმე კონკრეტულ საკითხზე , მინდა ყველაფერი ერთად მოგიყვე😍",
"კი ბატონო😙~და გინდა გითხრა, რა არის გლაუკონიტი?🤓[qr, კი, არა]",არ მინდა____არა____ნწ
"გლაუკონიტი შესაძლებელია გამოყენებულ იქნას როგორც კალიუმისა და ალუმინის მისაღებად, ასევე ეკოლოგიურად სუფთა ბუნებრივი სასუქების დასამზადებლად🤓.~გლაუკონიტიანი ქვიშაქვების მარაგი რეგიონში პრაქტიკულად ამოუწურავია. მათი უმრავლესობა კალიუმისა და ალუმინის ჟანგებს შეიცავს მეტი რაოდენობით, ვიდრე აშშს “ნიუ ჯერსის” საბადო.",კი____დიახ____ხო____ჰო____მინდა____მითხარ____გისმენ
"გასაგებია. მაშინ შემიძლია გითხრა , რომ იმერთი გამოირჩევა სამშენებლო საქმიანობისათვის საჭირო რესურსით🤓იქნებ ეს საკითხი გაინტერესებს?🤓[qr, მაინტერესებს]",არა____ნწ____ნოუ____არმინდა
"რეგიონში არსებობს კირქვისა და მარმარილოსებური კირქვის მრავალი საბადო (ბაზალტის, ტუფის, დიურიტის, გრანიტის ქვის საბადოები), რომელთა საერთო მარაგი რამოდენიმე ათეული მილიონი კუბური მეტრია. დაახლოებით ასევე მოცულობითია ეკლარისა და გელათის ქვის საბადოები და „დედალაურის“ კირქვის (საკედლე ბლოკის) საბადო.🤓🤓",შემდეგ____მერე____განაგრძ____სულ ეს____კიდე____კი____დიახ____განაგრძ____გისმენ
"ვაშა!💜~მოსაპირკეთებელ მასალათა შორის ტეშენიტი საქართველოში ითვლება ძირითად ნედლეულად. იგი მაგმური წარმოშობის ქანია. იმერეთის რეგიონში ტეშენიტის დაძიებული მარაგი 4,7 მილ. კუბური მეტრია. ასევე კირქვა და მარმარილოსებური კირქვა - ერთ-ერთ ძირითად ნედლეულს წარმოადგენს სამშენებლო და მოსაპირკეთებელ მასალათა დასამზადებლად.🤓",ტეშენიტი____მოსაპირკეთებელი მასალა იმერეთ____იმერეთის მოსაპირკეთებელი მას____იმერეთში მოსაპირკეთებლი____კირქვა იმერეთ____იმერეთში კირქვ____მარმარილოსებური კირქვა იმერეთ____იმერეთში მარმარილოსებური კირქვა____იმერეთში ქვის საბადო____იმერეთის ქვის საბად____იმერეთში რომელი ქვის საბად
"იმერეთი გამოირჩევა სამშენებლო საქმიანობისათვის საჭირო რესურსით. მოსაპირკრთებელ მასალათა შორის ტეშენიტი საქართველოში ითვლება ძირითად ნედლეულად. იგი მაგმური წარმოშობის ქანია. იმერეთის რეგიონში ტეშენიტის დაძიებული მარაგი 4,7 მილ. კუბური მეტრია. ასევე კირქვა და მარმარილოსებური კირქვა - ერთ-ერთ ძირითად ნედლეულს წარმოადგენს სამშენებლო და მოსაპირკეთებელ მასალათა დასამზადებლად.🤓განვაგრძო?",ტეშენიტი____მოსაპირკეთებელი მასალა იმერეთ____იმერეთის მოსაპირკეთებელი მას____იმერეთში მოსაპირკეთებლი____კირქვა იმერეთ____იმერეთში კირქვ____მარმარილოსებური კირქვა იმერეთ____იმერეთში მარმარილოსებური კირქვა____იმერეთში ქვის საბადო____იმერეთის ქვის საბად____იმერეთში რომელი ქვის საბად
"ესე იგი, ძველთაგანვე იმერლები დახელოვნებული ქვის ოსტატები იყვნენ. საქართველოს ამ რეგიონში მეტად განვითარებული იყო ქვის დამუშავება. მოიპოვებდნენ და ამუშავებდნენ ისეთ ძვირფას მინერალს როგორიცაა, გიშერი. ოკრიბელებს გიშრის ხელობა მამა-პაპით მოსდგამდათ. მეცნიერებს აქ დადასტურებული აქვთ გიშრის ციბრუტით დამუშავების ტექნიკა (სოფელი კურსები). ~სხვათა შორის, ოკრიბული გიშერი საქართველოს გარეთაც გადიოდა. გიშერს ავი თვალისაგან დაცვის თვისებასაც მიაწერდნენ. ოკრიბაში უხვად მოიპოვებოდა ქვა, რომლისაგანაც საცეხველს ამზადებდნენ.",გიშრის თვალი____გიშრის მოპოვე
"საცხეველში ძირითადად მარცვლეულს (უფრო ღომს) ცეხვავდნენ. დადასტურებულია აგრეთვე ქვის საცეხველში სელის ცეხვა, მარილის, საჭმლის შესაზავებელი სუნელების, არყის გამოსახდელი საჭირო ხილის დაფშვნა და გაჭყლეტა.🤗🤓[qr, ვიდეო]",ვიდეო____ლინკი____ბმულ
"ესეც ვიდეო😍~[link, ეთნოგრაფიული ნარკვევები - საცეხველი(https://www.youtube.com/watch?v=tt4DDnfQrQ4&ab_channel=%E1%83%9E%E1%83%98%E1%83%A0%E1%83%95%E1%83%94%E1%83%9A%E1%83%98%E1%83%90%E1%83%A0%E1%83%AE%E1%83%98GeorgianPublicBroadcaster)]",ვიდეო____ლინკი____ბმულ
"იმერეთის რეგიონი ძალზე მდიდარია ჰიდრომინერალური რესურსებით მინერალური და თერმული წყლების სახით. რეგიონში არის სამკურნალო მინერალური წყლებიის რამდენიმე ცნობილი საბადო და ათობით წყარო, მათ შორის: წყლტუბოს, საირმის, ზვარეს, ნუნისის მინერალური და თერმული წყლები, სადაც მოწყობილია ბალნეოლოგიური კურორტები და გამაჯანსაღებელი ზონები. 🤓განვაგრძო მოყოლა?",განაგრძე____დიახ____კი____მომიყევ____მიდი____დავაი____ჰო____ხო
"დიდი სიამოვნებით😇~დღეისათვის იმერეთში 53 საკურორტო დადასასვენებელი ბაზაა, რომელთა სამკურნალო მინერალური წყლები და გარემომცველი ბუნება რეგიონს მიმზიდველს ხდის დამსვენებლთათვის. ჰიდრორესურსების სიუხვე რეგიონში ხელსაყრელ პირობებსაც ქმნის მრავალი მცირე ჰესის (ჰიდრო-ელექტრო სადგურის) აგებისა და ფუნქციონირებისთვის. იმერეთში ამჟამად 5 ჰიდრო-ელექტრო სადგურია განლაგებული: რიონჰესი, გუმათჰესი, ვარციხჰესი, ძევრულჰესი, შაორჰესი.",განაგრძე____დიახ____კი____მომიყევ____მიდი____დავაი____ჰო____ხო
"იმერეთში ძირითადად მემინდვრეობით, კერძოდ მარცვლეული კულტურის მოყვანით იყვნენ დაკავებულნი 🌾 ~ განსაკუთრებით დიდი რაოდენობით მოჰყავდათ ღომეული.",რა მოჰყავდათ იმერეთ____რა მოყავდათ იმერეთ____იმერეთში რა მოყავდათ____იმერეთში მოჰყავდათ____იმერელებს რა მოჰყავდათ____რა მოჰყავდათ იმერელებს____რა მოყავდათ იმერელებს____მიწადმოქმედება იმერეთ____იმერეთის მიწადმოქმედება
"იმერეთის მეურნეობის ერთ-ერთი წამყვანი დარგი მევენახეობა იყო. 🍇 ~ იმერელ გლეხებს საუკუნეების განმავლობაში ვაზის 75-ზე მეტი ჯიში ჰქონდათ გამოყვანილი. ~ რამდენიმე ჯიში კი განსაკუთრებით ცნობილია. გინდა გითხრა რომლები? [qr, კი, არა]",მევენახეობა იმერეთ____იმერეთში მევენახეობა____იმერეთის მევენახეობა
"ახლავე ჩამოგითვლი ცნობილ იმერულ ვაზის ჯიშებს 🤗~ ესენია: ალადასტური, დიდშავა, ჭანკილოური, ცოლიკაური, ციცქა...🍇 ~ კიდევ ბევრი ჯიშია, მაგრამ ყველას ვეღარ ვიხსენებ 🤔 ~ თუ დაინტერესდები, შეგიძლია ინტერნეტით მოიძიო დამატებითი ინფორმაცია.",კი
"გასაგებია 🤗 იქნებ იმერეთის მეღვინეობით ხარ დაინტერესებული? ~ გინდა რაღაცებს მოგიყვე? [qr, მომიყევი]",მომიყევი
"იქნებ ის გაინტერესებს, იმერეთში ღვინოს როგორ აყენებდნენ? 🤔 [qr, მაინტერესებს]",არა
"იმერეთი ქართული ღვინისთვის ერთ-ერთი მნიშვნელოვანი და მრავალფეროვანი მხარეა. ~ საქართველოს კუთხეებიდან ყველაზე მეტი იშვიათი ჯიში სწორედ აქ არის შემორჩენილი 🤗 გინდა მოგიყვე იმერეთის გამორჩეულ ღვინოთა სახეობებზე? [qr,კი, არა]",მეღვინეობა იმერეთ____იმერეთის მეღვინეობ____იმერეთში მეღვინეობ____მეღვინეობაზე იმერეთ____მეღვინეობ
"იქნებ ის გაინტერესებს, იმერეთში ღვინოს როგორ აყენებდნენ? 🤔 [qr, მაინტერესებს]",მაინტერესებს
"ამ წარმოდგენების გამო, ისინი ღვინოს საზედაშე ქვევრებში ინახავდნენ 🍇~ ეს იყო ერთგვარი ხარკი ღვთისადმი, რომელიც ძირითადად ხატის კუთვნილი ვენახიდან იწურებოდა, თუ ოჯახს სახატე ვენახი არ ქონდა, მაშინ მოსავლის საუკეთესო ნაწილიდან. ☺ [qr, გაგრძელება]",გაგრძელება
"ჯერ პატარა ისტორიას მოგიყვები ☺ ~ ძველად ღვინოს ხალხი წმინდა სასმელად მიიჩნევდა, რადგან ის დაკავშირებული იყო სხვადასხვა რელიგიურ რიტუალებთან. ~ ისინი მიიჩნევდნენ, რომ ღვინის დაყენება სასოფლო, საგვარეულო თუ სხვა სახის წმინდანებისა და ღვთაებების შესაწირავიც იყო 🤗 [qr, გაგრძელება]",იმერეთში ღვინოს____ღვინის დაყენ____ღვინოს დაყენე____ღვინის გაკეთება____ღვინოს გაკეთება
რა გაეწყობა 🙃,არა
"იმერეთში ვაზის შემდეგი ჯიშები ხარობს:~ცოლიკაური, ციცქა, კრახუნა, ოცხანური საფერე, ადანასური და სხვა.~ვაზის ჯიშების გარდა, ამ მხარეში ზოგადად მეხილეობაც ძალიან პოპულარულია.",ბოსნტეუ
"იმერეთში, რა თქმა უნდა, ბოსტნეულის სხვადასხვა სახეობაც მოდის.~აქ ყველაზე მეტად გავრცელებულია სიმინდი - მარცვლოვანი მცენარე.~ერთ-ერთი გამორჩეულია იმერული სიმინდის ფქვილი, რომლისგანაც ცნობილ ქართულ კერძს, მჭადებს ამზადებენ.",ბოსნტეუ
"სოფლის მეურნეობა იმერეთის ერთ-ერთი მნიშვნელოვანი დარგია.~აქ შეხვდები მეურნეობის შემდეგ დარგებს:[qr, მევენახეობა, მემინდვრეობა, მეცხოველეობა, მეფუტკრეობა ]",მეფუტკრე
"მეფუტკრეობა განსაკუთრებით აქტიურად არის გავრცელებული ბაღდათში, ხარაგაულში, თერჯოლასა და წყალტუბოში.~იმერეთში თაფლის წარმოების შესახებ ბევრი ისტორია არსებობს, გინდა, მოგიყვე ეს ისტორიები?[qr, კი, არა]",მეფუტკრე
"მაგალითად, სათაფლია არის ცნობილი ადგილი იმერეთში, თავისი ნაკრძალითა და მღვიმით.~წყაროები გვეუბნება, რომ აქ უხსოვარი დროიან მოჰყავდათ თაფლი და დღემდე მოჰყავთ. აქ ბინადრობს ველური ქართული ფუტკარი.~ასევე ყვებიან, რომ ამ თაფლს მათრობელა თვისებები ჰქონია და ძველად ამას მტერთან საბრძოლველად იყენებდნენ.",კი
"ამ წარმოდგენების გამო, ისინი ღვინოს საზედაშე ქვევრებში ინახავდნენ 🍇~ ეს იყო ერთგვარი ხარკი ღვთისადმი, რომელიც ძირითადად ხატის კუთვნილი ვენახიდან იწურებოდა, თუ ოჯახს სახატე ვენახი არ ქონდა, მაშინ მოსავლის საუკეთესო ნაწილიდან. ☺ [qr, გაგრძელება]",გაგრძელება
"ტრადიციულად ღვინის დაყენება საწნახელში ყურძნის დაწურვით იწყებოდა. 🤗 ~ საწნახელში ყურძნის დაწურვა მამაკაცის საქმე იყო. დიდ საწნახლებში ერთდროულად სამი-ოთხი კაცი წურავდა ყურძენს. ამ დროს მიღებული იყო დინჯი, „მუხლის ამყოლი“ სიმღერა.",გაგრძელება
"იმერეთი საქართველოში ხე-ტყით მდიდარი რაიონია. ~ ხე-ტყის ჯიშების მრავალფეროვნება მოსახლეობას საშუალებას აძლევდა ეს რესურსი მრავალმხრივი საჭიროებებისთვის გამოეყენებინათ. 🌲🌳 [qr, გავრცელებული ჯიშები, ხის ნაკეთობები]",ხის დამუშავება____ხეზე მუშაობ
"უძველესი დროიდან ადამიანები ხის მასალით გემებს, სახლებს, დამხმარე ნაგებობებსა და ავეჯს ამზადებდნენ. ~ უი, კიდევ გამახსენდა 🙂👇~ხის მასალისგან ამზადებდნენ საყოფაცხოვრებო და სამეურნეო ნივთებსაც 😊 გინდა კიდევ უფრო დაწვრილებით მოგიყვე? [qr, კი]",არ მაინტერესებს____არ მინდა____არ____ნო
როგორც გინდა 🙂,არ მაინტერესებს____არ მინდა____არ____ნო
"არასწორია, მაგრამ ახლავე მოგიყვები, რისგან ამზადებდნენ იმერეთში სავარცხელს 👇 ~ იმერლები, რაჭველებთან ერთად, დახელოვნებული ყოფილან ხის და ძვლის სავარცხლების დამზადებით. მოხარშული ცხოველის რქას ნაწილებად ჭრიდნენ და შემდეგ დანის, ჭოპოსნისა და ხერხის საშუალებით სავარცხელს ამზადებდნენ. 😊",მეტალისგან
"დიახ, შენ სწორი ხარ 😇 ~ იმერლები დახელოვნებული ყოფილან ხის და ძვლის სავარცხლების დამზადებით. მოხარშული ცხოველის რქას ნაწილებად ჭრიდნენ და შემდეგ დანის, ჭოპოსნისა და ხერხის საშუალებით სავარცხელს ამზადებდნენ. იმერეთში სავარცხლები მზადდებოდა გასაყიდადაც და გადასაცვლელადაც.",ცხოველის რქისგან
"იმერეთში ვხვდებით უნიკალურ ხის ჯიშებს, რომლებსაც რამდენიმე საუკუნოვანი ისტორია აქვთ. ესენია: ძელქვა, ბზა, მუხა. ~ იმერეთში ყველაზე გავრცელებული ხის ჯიშებია: რცხილა, ნეკერჩხალი, ცაცხვი, წაბლი, აკაცია, ევკალიპტი... 🌲",იმერეთში გავრცელებული ხის____ხის ჯიშები____ხის გავრცელებული ჯიშ____გავრცელებული ხის ჯიშები იმერეთ
"იმერეთში ხის საოჯახო და სამეურნეო ნივთებს დიდი როლი ჰქონდა ყოველდღიურ ყოფაცხოვრებაში. ~ ისინი ამზადებდნენ: მარცვლეულისა და ფქვილის შესანახ, ცომის მოსაზელ, რძის პროდუქტების შესანახ, სუფრის და სამზარეულოს ჭურჭელს. ~ თუ არ მოგაცდენ, ერთ კითხვას დაგისვამ 🤗 [qr, მკითხე]",ხისგან დამზადებული____ხის ნივთებ____რა ნივთებს ამზადებ
"იმერლები დახელოვნებული ყოფილან ხის და ძვლის სავარცხლების დამზადებით. მოხარშული ცხოველის რქას ნაწილებად ჭრიდნენ და შემდეგ დანის, ჭოპოსნისა და ხერხის საშუალებით სავარცხელს ამზადებდნენ. იმერეთში სავარცხლები მზადდებოდა გასაყიდადაც და გადასაცვლელადაც. 🤗",რისგან ამზადებდნენ სავარცხ____სავარცხელს რისგან ამზადებდ____როგორ ამზადებდნენ სავარცხ____სავარცხელი როგორ____სავარცხელს როგორ
"იმერეთში ხის საოჯახო და სამეურნეო ნივთებს დიდი როლი ჰქონდა ყოველდღიურ ყოფაცხოვრებაში. ~ ისინი ამზადებდნენ: მარცვლეულისა და ფქვილის შესანახ, ცომის მოსაზელ, რძის პროდუქტების შესანახ, სუფრის და სამზარეულოს ჭურჭელს. ~ თუ არ მოგაცდენ, ერთ კითხვას დაგისვამ 🤗 [qr, მკითხე]",არ____არ მაინტერესებს____მომაცდენ____არ მცალია____არ მინდა____არ მკითხო____არ მსურს
"არადა შენთვის საინტერესო კითხვა მქონდა მომზადებული 😊 თუ გადაიფიქრე აქ დააკლიკე [qr, საინტერესო კითხვა]",არ____არ მაინტერესებს____მომაცდენ____არ მცალია____არ მინდა____არ მკითხო____არ მსურს
"აბა, თუ იცი, რისგან ამზადებდნენ იმერლები სავარცხელს? 😊 პასუხი ამოირჩიე 👇 [qr, პლასტმასისგან, ცხოველის რქისგან, მეტალისგან]",საინტერესო კითხვა
"მდინარის ნაპირებზე წავი და ნუტრია ბინადრობს, ხოლო ძუძუმწოვრებიდან - ტურა, მელა და მაჩვი გვხვდება.🐆😙",შინამრეწველობა
"_xDE0A__xD83D_🌊იმერეთის ბუნების იერსახის შექმნაში მნიშვნელოვანი ადგილი უკავია მდინარეულ ხეობებს, რომელთა ხშირი ქსელით დასერილ-დაღარულია მთელი ტერიტორია.🤓ამასთან, ტერიტორიის უმეტესი ნაწილი უკავია მდინარეების რიონისა და ყვირილის მარცხენა მხარის შენაკადებს. განვაგრძოთ?😊[qr, კი, არა, მდინარეული ხეობები]",მდინარეული ხეობა იმერეთ____მდინარეული ხეობები იმერეთ
"_xDE0A__xD83D_🌊იმერეთის ბუნების იერ-სახის შექმნაში მნიშვნელოვანი ადგილი უკავია მდინარეულ ხეობებს, რომელთა ხშირი ქსელით დასერილ-დაღარულია მთელი ტერიტორია.🤓ამასთან, ტერიტორიის უმეტესი ნაწილი უკავია მდინარეების რიონისა და ყვირილის მარცხენა მხარის შენაკადებს.განვაგრძოთ?😊[qr, კი, არა, მდინარეული ხეობები]",სხვა
"ბევრი თემა მაქვს , რომლებზეც ხანგრძლივი საუბარი შემიძლია თუ გამომყვები 🤓 და შემოთავაზებული ვარიანტებიდან აირჩევ🤗[qr, იმერეთის შინამრეწველობა, ვარიანტი]",შინამრეწველობა
"შინამრეწველობის დარგები იმერეთში საკმაოდ მრავალფეროვანია😇ამისათვის საჭიროა სათითაოდ, თითოეულ დარგზე ვისაუბროთ 🤓ესენია:[qr, თიხის ნაკეთობები, მეთუნეობა, მექვევრეობა, ხის დამუშავება, მეაბრეშუმეობა]",თიხის ნაკეთობების დამზადება იმერეთ____თიხის ნაკეთობები იმერეთ____იმერული თიხის ნაკეთობა____თიხის ნაკეთობის დამზადება იმერეთ____თიხის ნაკეთობა იმერეთ
"თიხა, არის სხვადასხვა ნაკეთობისათვის დასამზადებელი ნედლეული, ის საქართველოს ბევრ ადგილას მოიპოვებოდა და ამჟამადაც მოიპოვება, თუმცა, ხანგრძლივი დაკვირვებიდან გამომდინარე, ზოგიერთი ადგილის თიხისაგან შესაძლებელი იყო, მაგალითად, ხარისხიანი აგურის, კრამიტის, თონისა და სხვათა დამზადება, მაგრამ იმავე ნედლეულისაგან ქვევრს არ ამზადებდნენ, რადგან ხანგრძლივი პრაქტიკა უჩვენებდა, რომ ზოგჯერ ასეთი ქვევრები ღვინოზე გარკვეულ წილად უარყოფითად მოქმედებდნენ.🤓~განვაგრძო მოყოლა? საკმაოდ საინტერესო თემაა 😇",კი____დიახ____ხო____ჰო____იეს____მიდი____გისმენ____თავისთ____რასაკვირ____რა საკვირ
"ძალიან კარგი😍🤗~საქართველოში ყველა გამოცდილმა მეღვინემ და ქვევრის ოსტატმა იცოდა, რომ ღვინოზე უარყოფითი გავლენა შესაძლოა ისეთ ქვევრსაც მოეხდინა, რომელიც, ან არასათანადოდ გამომწვარი, ან არასაკმარისად დამუშავებული და დახარისხებული, ან სულაც დაბინძურებული წყლით მოზელილი იყო.~ასევე გეტყვი, რომ სანამ თიხის ნაწარმი საბოლოო სახეს მიიღებდეს, ძალიან რთულ გზას გადის. სპეციალური მიწა თვითონ სოფლის ტერიტორიაზე მოიპოვება. მეჭურჭლეები ერთმანეთში ურევენ თირს და აყალოს, მისი დაზელვის შემდეგ შესაძლებელია ჩვენთვის სასურველი ფორმა მივცეთ თიხას. როდესაც ჭურჭელი ხმება, მას სპეციალურ ქურაში წვავენ ძალიან მაღალ ტემპერატურაზე 2-3 დღის განმავლობაში და თიხა მზა სახეს იძენს, ხოლო რომელი თიხაც ფერის შეცვლას საჭიროებს მას სპეციალურ საღებავებით ღებავენ.",კი____დიახ____ხო____ჰო____იეს____მიდი____გისმენ____თავისთ____რასაკვირ____რა საკვირ
"თიხა, არის სხვადასხვა ნაკეთობისათვის დასამზადებელი ნედლეული, ის საქართველოს ბევრ ადგილას მოიპოვებოდა და ამჟამადაც მოიპოვება, თუმცა, ხანგრძლივი დაკვირვებიდან გამომდინარე, ზოგიერთი ადგილის თიხისაგან შესაძლებელი იყო, მაგალითად, ხარისხიანი აგურის, კრამიტის, თონისა და სხვათა დამზადება, მაგრამ იმავე ნედლეულისაგან ქვევრს არ ამზადებდნენ, რადგან ხანგრძლივი პრაქტიკა უჩვენებდა, რომ ზოგჯერ ასეთი ქვევრები ღვინოზე გარკვეულ წილად უარყოფითად მოქმედებდნენ.🤓~განვაგრძო მოყოლა? საკმაოდ საინტერესო თემაა 😇",არა____ნწ____არმინდა
